Year,Month,Day,Activity,Time,cleaned_species
2022,April,9,Feeding sharks & stingrays,Not Specified,Not Specified
2022,April,7,Kayaking,10:00 AM,Not Specified
2022,April,1,Not Specified,Not Specified,Not Specified
2022,March,31,Fishing,Not Specified,Not Specified
2022,March,18,Swimming,Not Specified,Tiger Shark
2022,March,15,Surfing,Not Specified,Not Specified
2022,March,15,Surfing,03:20 PM,Bull Shark
2022,March,15,Swimming,04:40 PM,Not Specified
2022,March,13,Surfing,03:00 PM,Not Specified
2022,March,9,Fishing,03:30 PM,Blacktip Shark
2022,March,8,Surfing,07:50 AM,Not Specified
2022,February,26,Boogie boarding,11:24 AM,White Shark
2022,February,21,Diving,12:50 PM,Not Specified
2022,February,17,Fihing,Not Specified,Tiger Shark
2022,February,16,Swimming,04:30 PM,Not Specified
2022,February,12,Surface Supplied  Diving,10:00 AM,Not Specified
2022,February,11,Surfing,05:30 PM,Not Specified
2022,February,8,Diving,Not Specified,Bull Shark
2022,February,5,Floating in inflatable pool ring,11:15 AM,White Shark
2022,January,24,Swimming,Not Specified,Wobbegong Shark
2022,January,22,Snorkeling,Not Specified,Wobbegong Shark
2022,January,9,Fishing for sharks,07:31 AM,Not Specified
2022,January,9,Swimming,04:30 PM,Sevengill Shark
2022,January,6,Wing Foil Surfing,02:45 PM,Spinner Shark
2022,January,4,Not Specified,06:30 AM,Not Specified
2022,January,1,Surfing,Not Specified,Not Specified
2021,December,25,Swimming,Not Specified,Not Specified
2021,December,22,Wing Foil Surfing,Not Specified,Spinner Shark
2021,December,6,Swimmingq,07:20 PM,Not Specified
2021,December,6,Swimming,07:20 PM,Not Specified
2021,December,4,Surfing,Not Specified,Blacktip Reef Shark
2021,November,7,Spearfishing,10:30 AM,Not Specified
2021,November,6,Swimming,10:00 AM,Not Specified
2021,November,3,Swimming,Not Specified,Not Specified
2021,November,2,Surfing,Not Specified,Not Specified
2021,October,16,Spearfishing,Not Specified,Not Specified
2021,October,15,Swimming,Not Specified,Not Specified
2021,October,4,Surfing,Not Specified,Not Specified
2021,October,3,Swimming,12:00 PM,Not Specified
2021,October,3,Surfing,09:00 AM,Not Specified
2021,September,10,Swimming,Not Specified,Not Specified
2021,September,9,Surfing,01:20 PM,Not Specified
2021,September,5,Surfing,10:30 AM,White Shark
2021,September,3,Not Specified,Not Specified,Not Specified
2021,September,3,"Fishing, fell in water",02:00 PM,Not Specified
2021,August,28,Boogie boarding,11:45 AM,Not Specified
2021,August,21,Surfing,06:40 AM,Bull Shark
2021,August,13,Swimming,Not Specified,Not Specified
2021,August,7,Harassing sharks,Not Specified,Not Specified
2021,August,7,Surfing,10:00 AM,Not Specified
2021,August,7,Snorkeling,07:51 AM,Not Specified
2021,August,3,Not Specified,11:46 AM,Blacktip Shark
2021,August,2,Swimming,03:00 PM,Blacktip Shark
2021,July,30,Fishing,11:00 AM,Not Specified
2021,July,27,Standing,01:30 PM,Not Specified
2021,July,27,Surfing,Not Specified,Blacktip Shark
2021,July,27,Fishing,08:30 PM,Lemon Shark
2021,July,26,Swimming,11:00 AM,Not Specified
2021,July,25,Squatting in the water,Not Specified,Not Specified
2021,July,23,Moving captive shark,Not Specified,Bull Shark
2021,July,21,Surfing,Not Specified,Not Specified
2021,July,21,Not Specified,12:23 PM,Not Specified
2021,July,19,Surfing,12:30 PM,White Shark
2021,July,15,Boogie boarding,04:30 PM,Not Specified
2021,July,14,Surfing,07:07 AM,Not Specified
2021,July,10,Playing,04:39 PM,Spinner Shark
2021,July,10,Spearfishing,Not Specified,Not Specified
2021,July,10,Wading,01:50 PM,Not Specified
2021,July,5,Surfing,04:30 PM,White Shark
2021,July,4,Standing,04:00 PM,Not Specified
2021,July,4,Spearfishing,Not Specified,Bull Shark
2021,July,3,Diving,Not Specified,Not Specified
2021,June,30,Canoeing,07:15 AM,Not Specified
2021,June,28,Surfing,Not Specified,Not Specified
2021,June,27,Swimming,11:30 AM,Not Specified
2021,June,26,Swimming,09:15 AM,White Shark
2021,June,25,Parasailing,Not Specified,Not Specified
2021,June,23,Surfing,02:00 PM,Not Specified
2021,June,18,Standing,03:57 PM,Not Specified
2021,June,17,Swimming,02:30 PM,Not Specified
2021,June,14,Standing,Not Specified,Not Specified
2021,June,14,Standing,Not Specified,Not Specified
2021,June,12,Fishing,Not Specified,Not Specified
2021,June,11,Snorkeling,11:00 AM,Bronze Whaler Shark
2021,May,25,Spearfishing,Not Specified,Not Specified
2021,May,23,Swimming,Not Specified,Not Specified
2021,May,21,Spearfishing,11:20 AM,Not Specified
2021,May,18,Surfing,11:15 AM,White Shark
2021,May,15,Kite Foiling,04:45 PM,Tiger Shark
2021,May,12,Baiting sharks,10:00 AM,Not Specified
2021,May,6,Wading,11:30 AM,Not Specified
2021,May,3,Surfing,04:00 PM,Not Specified
2021,May,1,Spearfishing,08:00 AM,Not Specified
2021,April,30,Surfing,09:00 AM,Not Specified
2021,April,29,Boggie boarding,Not Specified,Not Specified
2021,April,24,Canoeing,08:15 AM,Not Specified
2021,April,24,Stand Up Paddleboarding,Not Specified,Not Specified
2021,April,20,Swimming,08:56 AM,Tiger Shark
2021,April,19,Not Specified,03:40 PM,Not Specified
2021,April,17,Tagging sharks,Not Specified,Mako Shark
2021,April,14,Spearfishing,Not Specified,Not Specified
2021,April,13,Body boarding,11:00 AM,White Shark
2021,April,2,Swimming,Not Specified,Not Specified
2021,March,30,Not Specified,01:00 PM,Not Specified
2021,March,27,Spearfishing,12:00 PM,Bull Shark
2021,March,26,Swimming,Not Specified,Not Specified
2021,March,25,Not Specified,11:45 AM,Not Specified
2021,March,25,Swimming,Not Specified,Not Specified
2021,March,21,Body surfing,02:00 PM,Not Specified
2021,March,20,Paddle boarding,03:00 PM,Blacktip Shark
2021,March,18,Wading,Not Specified,Blacktip Shark
2021,March,2,Spearfishing,Not Specified,Tiger Shark
2021,February,28,Swimming,11:00 AM,Tiger Shark
2021,February,20,Fishing,05:30 PM,Bull Shark
2021,February,6,Surfing,04:30 PM,Not Specified
2021,February,2,Surf skiing ,07:00 PM,Bronze Whaler Shark
2021,February,2,Kayaking,02:00 PM,White Shark
2021,January,29,Swimming,10:30 AM,Not Specified
2021,January,27,Swimming,08:00 PM,Not Specified
2021,January,23,Swimming,06:30 PM,Not Specified
2021,January,22,Fishing,Not Specified,White Shark
2021,January,22,Snorkeling,07:45 AM,Not Specified
2021,January,21,Snorkeling,05:00 PM,White Shark
2021,January,13,Surfing,Not Specified,Not Specified
2021,January,13,Swimming,07:58 AM,Bull Shark
2021,January,11,Swimming,05:40 PM,Not Specified
2021,January,9,Swimming / Kayaking,Not Specified,Not Specified
2021,January,7,Swimming,05:10 PM,Not Specified
2021,January,3,Surfing,10:30 AM,Not Specified
2021,January,2,Surfing,10:30 AM,Not Specified
2021,January,2,Swimming,08:00 AM,Not Specified
2020,December,30,Swimming,Not Specified,White Shark
2020,December,23,Fell off fishing boat,09:36 AM,Not Specified
2020,December,10,Swimming,02:00 PM,Tiger Shark
2020,December,9,Surfing,07:00 AM,Not Specified
